 ; 198780; 18.520917%
e; 102556; 9.555444%
t; 77273; 7.199753%
a; 70797; 6.596365%
o; 70146; 6.535709%
n; 61244; 5.706283%
i; 55550; 5.175757%
h; 53363; 4.971988%
s; 50808; 4.733931%
r; 45392; 4.229306%
d; 37812; 3.523055%
l; 34746; 3.237387%
u; 27120; 2.526850%
m; 21544; 2.007318%
y; 20014; 1.864763%
w; 19243; 1.792927%
c; 17965; 1.673852%
g; 17607; 1.640496%
f; 16472; 1.534745%
p; 12191; 1.135871%
b; 11075; 1.031890%
v; 10857; 1.011579%
k; 9272; 0.863899%
I; 5732; 0.534067%

; 4175; 0.388997%
A; 2001; 0.186439%
H; 1901; 0.177122%
T; 1742; 0.162307%
R; 1696; 0.158021%
S; 1667; 0.155319%
W; 1391; 0.129604%
P; 1292; 0.120379%
x; 1290; 0.120193%
z; 892; 0.083110%
B; 877; 0.081713%
Y; 871; 0.081154%
q; 754; 0.070252%
D; 699; 0.065128%
j; 684; 0.063730%
N; 616; 0.057395%
L; 526; 0.049009%
M; 469; 0.043698%
O; 438; 0.040810%
G; 320; 0.029815%
K; 317; 0.029536%
F; 249; 0.023200%
C; 230; 0.021430%
E; 199; 0.018541%
Z; 194; 0.018076%
V; 91; 0.008479%
J; 59; 0.005497%
U; 46; 0.004286%
Q; 21; 0.001957%
X; 7; 0.000652%
